technique_type,transitive_trace_type,direct_algebraic_model,transitive_algebraic_model,transitive_scaling,transitive_aggregation,technique_aggregation,ap,auc,lag
COMBINED,lower,LSI,VSM,GLOBAL,PCA,PCA,0.6366802941812152,0.9057672288153238,150.86666666666667
COMBINED,lower,LSI,VSM,GLOBAL,PCA,SUM,0.6757903072545174,0.924325074606149,121.15555555555555
COMBINED,lower,LSI,VSM,GLOBAL,PCA,MAX,0.5949558941347352,0.9163508918037337,133.15555555555557
COMBINED,lower,LSI,VSM,GLOBAL,SUM,PCA,0.6734920641476778,0.9276424456936637,115.84444444444445
COMBINED,lower,LSI,VSM,GLOBAL,SUM,SUM,0.6754113200460033,0.9361718370462905,102.18888888888888
COMBINED,lower,LSI,VSM,GLOBAL,SUM,MAX,0.6800055125472343,0.9390311610798805,95.58888888888889
COMBINED,lower,LSI,VSM,GLOBAL,MAX,PCA,0.6157586606743422,0.8905406343257686,175.24444444444444
COMBINED,lower,LSI,VSM,GLOBAL,MAX,SUM,0.6528852356659213,0.9053300020820321,151.56666666666666
COMBINED,lower,LSI,VSM,GLOBAL,MAX,MAX,0.5980408361756997,0.9012977999861198,155.8111111111111
COMBINED,lower,VSM,LSI,INDEPENDENT,PCA,PCA,0.6061069579204217,0.88841349156777,178.25555555555556
COMBINED,lower,VSM,LSI,INDEPENDENT,PCA,SUM,0.5856063876341749,0.8705774168922201,206.8111111111111
COMBINED,lower,VSM,LSI,INDEPENDENT,PCA,MAX,0.5323437842661057,0.8713685890762717,205.54444444444445
COMBINED,lower,VSM,LSI,INDEPENDENT,SUM,PCA,0.5673529532714943,0.8290269970157541,273.3333333333333
COMBINED,lower,VSM,LSI,INDEPENDENT,SUM,SUM,0.5578044438296428,0.8080678742452634,306.8888888888889
COMBINED,lower,VSM,LSI,INDEPENDENT,SUM,MAX,0.5323281338535969,0.8099347629953502,303.9
