technique_type,transitive_trace_type,direct_algebraic_model,transitive_algebraic_model,transitive_scaling,transitive_aggregation,technique_aggregation,ap,auc,lag,name
COMBINED,lower,VSM,VSM,INDEPENDENT,SUM,SUM,0.9388603313452452,0.9474795957493426,23.529141104294478,(o (SUM) ((. (VSM NT) (0 2)) (x (SUM INDEPENDENT) ((. (VSM NT) (0 1)) (. (VSM T) (1 2))))))
COMBINED,lower,VSM,VSM,INDEPENDENT,SUM,PCA,0.9411194394663712,0.948602514241893,23.0260736196319,(o (PCA) ((. (VSM NT) (0 2)) (x (SUM INDEPENDENT) ((. (VSM NT) (0 1)) (. (VSM T) (1 2))))))
COMBINED,lower,VSM,VSM,INDEPENDENT,PCA,MAX,0.9733257511578541,0.9635941608238388,16.309815950920246,(o (MAX) ((. (VSM NT) (0 2)) (x (PCA INDEPENDENT) ((. (VSM NT) (0 1)) (. (VSM T) (1 2))))))
COMBINED,lower,VSM,VSM,INDEPENDENT,PCA,SUM,0.9732469796494793,0.9662508216476775,15.11963190184049,(o (SUM) ((. (VSM NT) (0 2)) (x (PCA INDEPENDENT) ((. (VSM NT) (0 1)) (. (VSM T) (1 2))))))
COMBINED,lower,VSM,VSM,INDEPENDENT,MAX,SUM,0.9889277309622263,0.9852480006573181,6.608895705521473,(o (SUM) ((. (VSM NT) (0 2)) (x (MAX INDEPENDENT) ((. (VSM NT) (0 1)) (. (VSM T) (1 2))))))
COMBINED,lower,LSI,VSM,GLOBAL,MAX,MAX,0.9851934354640867,0.9800681967572304,8.929447852760736,(o (MAX) ((. (LSI NT) (0 2)) (x (MAX GLOBAL) ((. (VSM NT) (0 1)) (. (VSM T) (1 2))))))
COMBINED,lower,LSI,LSI,GLOBAL,PCA,SUM,0.9679571459765637,0.9625054776511832,16.79754601226994,(o (SUM) ((. (LSI NT) (0 2)) (x (PCA GLOBAL) ((. (LSI NT) (0 1)) (. (LSI T) (1 2))))))
COMBINED,lower,LSI,VSM,GLOBAL,MAX,PCA,0.9677573352288692,0.9664117276511831,15.047546012269938,(o (PCA) ((. (LSI NT) (0 2)) (x (MAX GLOBAL) ((. (VSM NT) (0 1)) (. (VSM T) (1 2))))))
COMBINED,lower,LSI,LSI,GLOBAL,SUM,MAX,0.9330103291141938,0.9439636283961437,25.104294478527606,(o (MAX) ((. (LSI NT) (0 2)) (x (SUM GLOBAL) ((. (LSI NT) (0 1)) (. (LSI T) (1 2))))))
COMBINED,lower,LSI,LSI,GLOBAL,SUM,SUM,0.9271692686040092,0.943511722173532,25.30674846625767,(o (SUM) ((. (LSI NT) (0 2)) (x (SUM GLOBAL) ((. (LSI NT) (0 1)) (. (LSI T) (1 2))))))
