,family,type,percentile,original_group
735,hybrid,non-links,0.24,low
736,hybrid,links,0.07999999999999996,low
737,hybrid,links,0.56,medium
738,hybrid,links,0.76,high
739,hybrid,links,0.72,high
740,hybrid,links,0.64,medium
741,hybrid,links,0.6,medium
742,hybrid,links,0.6799999999999999,high
743,hybrid,links,0.28,low
744,hybrid,links,0.4,medium
745,hybrid,links,0.31999999999999995,low
746,hybrid,links,0.43999999999999995,medium
747,hybrid,links,0.48,medium
748,hybrid,links,0.19999999999999996,low
749,hybrid,links,0.36,medium
750,direct,non-links,0.88,high
751,direct,non-links,0.88,high
752,direct,links,0.88,high
753,direct,links,0.88,high
754,direct,links,0.88,high
755,direct,non-links,0.64,medium
756,direct,links,0.52,medium
757,direct,links,0.0,low
758,direct,links,0.4,medium
759,direct,links,0.43999999999999995,medium
760,direct,non-links,0.24,low
761,direct,links,0.040000000000000036,low
762,direct,links,0.48,medium
763,direct,links,0.6799999999999999,high
764,direct,links,0.72,high
765,direct,links,0.56,medium
766,direct,links,0.6,medium
767,direct,links,0.76,high
768,direct,links,0.16000000000000003,low
769,direct,links,0.28,low
770,direct,links,0.31999999999999995,low
771,direct,links,0.19999999999999996,low
772,direct,links,0.36,medium
773,direct,links,0.12,low
774,direct,links,0.07999999999999996,low
775,transitive,non-links,0.88,high
776,transitive,non-links,0.84,high
777,transitive,links,0.96,high
778,transitive,links,0.92,high
779,transitive,links,0.24,high
780,transitive,non-links,0.76,medium
781,transitive,links,0.48,medium
782,transitive,links,0.36,low
783,transitive,links,0.72,medium
784,transitive,links,0.8,medium
785,transitive,non-links,0.12,low
786,transitive,links,0.19999999999999996,low
787,transitive,links,0.0,medium
788,transitive,links,0.16000000000000003,high
789,transitive,links,0.43999999999999995,high
790,transitive,links,0.31999999999999995,medium
791,transitive,links,0.07999999999999996,medium
792,transitive,links,0.56,high
793,transitive,links,0.6799999999999999,low
794,transitive,links,0.040000000000000036,low
795,transitive,links,0.6,low
796,transitive,links,0.28,low
797,transitive,links,0.52,medium
798,transitive,links,0.4,low
799,transitive,links,0.64,low
800,hybrid,non-links,0.92,high
801,hybrid,non-links,0.84,high
802,hybrid,links,0.88,high
803,hybrid,links,0.8,high
804,hybrid,links,0.96,high
805,hybrid,non-links,0.52,medium
806,hybrid,links,0.43999999999999995,medium
807,hybrid,links,0.0,low
808,hybrid,links,0.31999999999999995,medium
809,hybrid,links,0.36,medium
810,hybrid,non-links,0.19999999999999996,low
